"страна","рождаем","смертн","деск_см","длит_муж","длит_жен","доход","регион"
"Afghanistan",0.722352941176471,0.723684210526316,1,0.0767195767195767,0.0197044334975369,0.0025894538606403,5
"Bahrain",0.44,0.0701754385964912,0.0649350649350649,0.759259259259259,0.694581280788177,0.184204331450094,4
"Iran",0.771764705882353,0.407894736842105,0.58498023715415,0.468253968253968,0.339901477832512,0.070915725047081,4
"Iraq",0.774117647058824,0.245614035087719,0.364201016374929,0.658730158730159,0.58128078817734,0.0865112994350282,4
"Israel",0.296470588235294,0.179824561403509,0.0293619424054207,0.947089947089947,0.891625615763547,0.318973634651601,4
"Jordan",0.687058823529412,0.184210526315789,0.223037831733484,0.69047619047619,0.655172413793103,0.0341337099811676,4
"Kuwait",0.402352941176471,0,0.0626764539808018,0.875661375661376,0.842364532019705,0.472869585687382,4
"Oman",0.844705882352941,0.245614035087719,0.200451722190853,0.637566137566138,0.605911330049261,0.151247645951036,4
"Saudi_Arabia",0.762352941176471,0.236842105263158,0.375494071146245,0.624338624338624,0.591133004926108,0.205096516007533,4
"Turkey",0.458823529411765,0.271929824561404,0.403726708074534,0.645502645502645,0.605911330049261,0.0456096986817326,4
"United_Arab_Emirates",0.308235294117647,0.0701754385964912,0.121400338791643,0.806878306878307,0.780788177339902,0.582038606403013,4
"Bangladesh",0.764705882352941,0.583333333333333,0.64652738565782,0.497354497354497,0.364532019704433,0.00382532956685499,5
"China",0.270588235294118,0.197368421052632,0.15527950310559,0.791005291005291,0.731527093596059,0.00882768361581921,5
"Hong_Kong",0.0470588235294118,0.118421052631579,0.00903444381705251,0.957671957671957,0.958128078817734,0.415783898305085,5
"India",0.489411764705882,0.350877192982456,0.488424618859401,0.380952380952381,0.268472906403941,0.00794491525423729,5
"Indonesia",0.444705882352941,0.315789473684211,0.398080180688876,0.53968253968254,0.512315270935961,0.014418549905838,5
"Malaysia",0.515294117647059,0.149122807017544,0.110107284020328,0.777777777777778,0.748768472906404,0.0659133709981168,5
"Mongolia",0.621176470588235,0.289473684210526,0.358554488989272,0.579365079365079,0.524630541871921,0.000882768361581921,5
"Nepal",0.703529411764706,0.552631578947368,0.697346132128741,0.338624338624338,0.169950738916256,0.00264830508474576,5
"Pakistan",0.484705882352941,0.258771929824561,0.582721626199887,0.552910052910053,0.443349753694581,0.00882768361581921,5
"Philippines",0.552941176470588,0.241228070175439,0.228684359119142,0.645502645502645,0.613300492610837,0.019126647834275,5
"Singapore",0.190588235294118,0.131578947368421,0.0169395821569735,0.809523809523809,0.807881773399015,0.326035781544256,5
"Sri_Lanka",0.272941176470588,0.175438596491228,0.0841332580463015,0.785714285714285,0.751231527093596,0.011475988700565,5
"Thailand",0.296470588235294,0.241228070175439,0.132693393562959,0.67989417989418,0.682266009852217,0.0394303201506591,5
"Algeria",0.607058823529412,0.267543859649123,0.392433653303219,0.621693121693122,0.544334975369458,0.0582627118644068,6
"Angola",0.882352941176471,0.789473684210526,0.748164878599661,0.126984126984127,0.120689655172414,0.0155955743879473,6
"Botswana",0.912941176470588,0.412280701754386,0.352907961603614,0.375661375661376,0.455665024630542,0.0576741996233522,6
"Congo",0.856470588235294,0.543859649122807,0.386787125917561,0.317460317460317,0.347290640394089,0.0273658192090395,6
"Egypt",0.684705882352941,0.320175438596491,0.253529079616036,0.521164021164021,0.470443349753695,0.01530131826742,6
"Ethiopia",0.915294117647059,0.81140350877193,0.748164878599661,0.113756613756614,0.108374384236453,0.00117702448210923,6
"Gabon",0.698823529411765,0.640350877192982,0.556182947487295,0.312169312169312,0.295566502463054,0.00912193973634652,6
"Gambia",0.887058823529412,0.842105263157895,0.782044042913608,0.0873015873015872,0.083743842364532,0.00529661016949153,6
"Ghana",0.816470588235294,0.478070175438596,0.482778091473744,0.373015873015873,0.359605911330049,0.00912193973634652,6
"Kenya",0.877647058823529,0.399122807017544,0.381140598531903,0.486772486772487,0.475369458128079,0.0085334274952919,6
"Libya",0.807058823529412,0.315789473684211,0.437605872388481,0.555555555555555,0.526108374384237,0.153895951035782,6
"Malawi",0.908235294117647,1,0.708639186900056,0,0,0.00353107344632768,6
"Morocco",0.607058823529412,0.333333333333333,0.437605872388481,0.555555555555555,0.524630541871921,0.025894538606403,6
"Mozambique",0.830588235294118,0.714912280701754,0.770750988142292,0.17989417989418,0.169950738916256,0,6
"Namibia",0.807058823529412,0.434210526315789,0.736871823828346,0.447089947089947,0.401477832512315,0.0279543314500942,6
"Nigeria",0.912941176470588,0.587719298245614,0.567476002258611,0.283068783068783,0.270935960591133,0.00823917137476459,6
"Sierra_Leone",0.905882352941176,0.929824561403509,0.844155844155844,0.0343915343915343,0.0344827586206896,0.00470809792843691,6
"Somalia",0.950588235294118,0.789473684210526,0.719932241671372,0.14021164021164,0.133004926108374,0.00117702448210923,6
"South_Africa",0.527058823529412,0.337719298245614,0.381140598531903,0.513227513227513,0.549261083743842,0.0720927495291902,6
"Sudan",0.821176470588235,0.596491228070176,0.584415584415584,0.277777777777778,0.241379310344828,0.0117702448210923,6
"Swaziland",0.872941176470588,0.451754385964912,0.640880858272163,0.126984126984127,0.204433497536946,0.0214806967984934,6
"Tunisia",0.503529411764706,0.223684210526316,0.268210050818746,0.708994708994709,0.620689655172414,0.0400188323917137,6
"Uganda",1,0.587719298245614,0.556182947487295,0.312169312169312,0.283251231527094,0.0041195856873823,6
"Tanzania",0.96,0.517543859649123,0.573122529644269,0.349206349206349,0.332512315270936,0.000882768361581921,6
"Zaire",0.844705882352941,0.526315789473684,0.443252399774139,0.322751322751323,0.307881773399015,0.0041195856873823,6
"Zambia",0.974117647058824,0.504385964912281,0.426312817617165,0.325396825396825,0.278325123152709,0.0100047080979284,6
"Zimbabwe",0.752941176470588,0.355263157894737,0.347261434217956,0.486772486772487,0.46551724137931,0.0164783427495292,6
